"","x"
"395","신생아 개흉적심장수술"
"396","신생아 개두술(뇌종양,뇌혈관질환)"
"397","신생아 중증외상환자에대한수술"
"398","신생아 야간 장기이식수술"
"399","신생아 야간 심폐체외순환법"
"400","신생아 야간 일측폐환기법"
"401","신생아 야간 고빈도제트환기법"
"402","신생아 야간 개흉적심장수술"
"403","신생아 야간 개두술(뇌종양,뇌혈관질환)"
"404","신생아 야간 중증외상환자에대한수술"
"405","신생아 공휴일 장기이식수술"
"406","신생아 공휴일 심폐체외순환법"
"407","신생아 공휴일 일측폐환기법"
"408","신생아 공휴일 고빈도제트환기법"
"409","신생아 공휴일 개흉적심장수술"
"410","신생아 공휴일 개두술(뇌종양,뇌혈관질환)"
"411","신생아 공휴일 중증외상환자에대한수술"
"412","신생아 의원·치과의원(보건의료원포함)야간,토요,공휴 장기이식수술"
"413","신생아 의원·치과의원(보건의료원포함)야간,토요,공휴 심폐체외순환법"
"414","신생아 의원·치과의원(보건의료원포함)야간,토요,공휴 일측폐환기법"
"415","신생아 의원·치과의원(보건의료원포함)야간,토요,공휴 고빈도제트환기법"
"416","신생아 의원·치과의원(보건의료원포함)야간,토요,공휴 개흉적심장수술"
"417","신생아 의원·치과의원(보건의료원포함)야간,토요,공휴 개두술(뇌종양,뇌혈관질환)"
"418","신생아 의원·치과의원(보건의료원포함)야간,토요,공휴 중증외상환자에대한수술"
"419","만1세미만 장기이식수술"
"420","만1세미만 심폐체외순환법"
"421","만1세미만 일측폐환기법"
"422","만1세미만 고빈도제트환기법"
"423","만1세미만 개흉적심장수술"
"424","만1세미만 개두술(뇌종양,뇌혈관질환)"
"425","만1세미만 중증외상환자에대한수술"
"426","만1세미만 야간 장기이식수술"
"427","만1세미만 야간 심폐체외순환법"
"428","만1세미만 야간 일측폐환기법"
"429","만1세미만 야간 고빈도제트환기법"
"430","만1세미만 야간 개흉적심장수술"
"431","만1세미만 야간 개두술(뇌종양,뇌혈관질환)"
"432","만1세미만 야간 중증외상환자에대한수술"
"433","만1세미만 공휴일 장기이식수술"
"434","만1세미만 공휴일 심폐체외순환법"
"435","만1세미만 공휴일 일측폐환기법"
"436","만1세미만 공휴일 고빈도제트환기법"
"437","만1세미만 공휴일 개흉적심장수술"
"438","만1세미만 공휴일 개두술(뇌종양,뇌혈관질환)"
"439","만1세미만 공휴일 중증외상환자에대한수술"
"440","만1세미만 의원·치과의원(보건의료원포함)야간,토요,공휴 장기이식수술"
"441","만1세미만 의원·치과의원(보건의료원포함)야간,토요,공휴 심폐체외순환법"
"442","만1세미만 의원·치과의원(보건의료원포함)야간,토요,공휴 일측폐환기법"
"443","만1세미만 의원·치과의원(보건의료원포함)야간,토요,공휴 고빈도제트환기법"
"444","만1세미만 의원·치과의원(보건의료원포함)야간,토요,공휴 개흉적심장수술"
"445","만1세미만 의원·치과의원(보건의료원포함)야간,토요,공휴 개두술(뇌종양,뇌혈관질환)"
"446","만1세미만 의원·치과의원(보건의료원포함)야간,토요,공휴 중증외상환자에대한수술"
"447","만1세이상~만6세미만 장기이식수술"
"448","만1세이상~만6세미만 심폐체외순환법"
"449","만1세이상~만6세미만 일측폐환기법"
"450","만1세이상~만6세미만 고빈도제트환기법"
"451","만1세이상~만6세미만 개흉적심장수술"
"452","만1세이상~만6세미만 개두술(뇌종양,뇌혈관질환)"
"453","만1세이상~만6세미만 중증외상환자에대한수술"
"454","만1세이상~만6세미만 야간 장기이식수술"
"455","만1세이상~만6세미만 야간 심폐체외순환법"
"456","만1세이상~만6세미만 야간 일측폐환기법"
"457","만1세이상~만6세미만 야간 고빈도제트환기법"
"458","만1세이상~만6세미만 야간 개흉적심장수술"
"459","만1세이상~만6세미만 야간 개두술(뇌종양,뇌혈관질환)"
"460","만1세이상~만6세미만 야간 중증외상환자에대한수술"
"461","만1세이상~만6세미만 공휴일 장기이식수술"
"462","만1세이상~만6세미만 공휴일 심폐체외순환법"
"463","만1세이상~만6세미만 공휴일 일측폐환기법"
"464","만1세이상~만6세미만 공휴일 고빈도제트환기법"
"465","만1세이상~만6세미만 공휴일 개흉적심장수술"
"466","만1세이상~만6세미만 공휴일 개두술(뇌종양,뇌혈관질환)"
"467","만1세이상~만6세미만 공휴일 중증외상환자에대한수술"
"468","만1세이상~만6세미만 의원·치과의원(보건의료원포함)야간,토요,공휴 장기이식수술"
"469","만1세이상~만6세미만 의원·치과의원(보건의료원포함)야간,토요,공휴 심폐체외순환법"
"470","만1세이상~만6세미만 의원·치과의원(보건의료원포함)야간,토요,공휴 일측폐환기법"
"471","만1세이상~만6세미만 의원·치과의원(보건의료원포함)야간,토요,공휴 고빈도제트환기법"
"472","만1세이상~만6세미만 의원·치과의원(보건의료원포함)야간,토요,공휴 개흉적심장수술"
"473","만1세이상~만6세미만 의원·치과의원(보건의료원포함)야간,토요,공휴 개두술(뇌종양,뇌혈관질환)"
"474","만1세이상~만6세미만 의원·치과의원(보건의료원포함)야간,토요,공휴 중증외상환자에대한수술"
"475","(상급종합병원·종합병원)신생아 장기이식수술"
"476","(상급종합병원·종합병원)신생아 심폐체외순환법"
"477","(상급종합병원·종합병원)신생아 일측폐환기법"
"478","(상급종합병원·종합병원)신생아 고빈도제트환기법"
"479","(상급종합병원·종합병원)신생아 개흉적심장수술"
"480","(상급종합병원·종합병원)신생아 개두술(뇌종양,뇌혈관질환)"
"481","(상급종합병원·종합병원)신생아 중증외상환자에대한수술"
"482","(상급종합병원·종합병원)신생아 야간 장기이식수술"
"483","(상급종합병원·종합병원)신생아 야간 심폐체외순환법"
"484","(상급종합병원·종합병원)신생아 야간 일측폐환기법"
"485","(상급종합병원·종합병원)신생아 야간 고빈도제트환기법"
"486","(상급종합병원·종합병원)신생아 야간 개흉적심장수술"
"487","(상급종합병원·종합병원)신생아 야간 개두술(뇌종양,뇌혈관질환)"
"488","(상급종합병원·종합병원)신생아 야간 중증외상환자에대한수술"
"489","(상급종합병원·종합병원)신생아 공휴일 장기이식수술"
"490","(상급종합병원·종합병원)신생아 공휴일 심폐체외순환법"
"491","(상급종합병원·종합병원)신생아 공휴일 일측폐환기법"
"492","(상급종합병원·종합병원)신생아 공휴일 고빈도제트환기법"
"493","(상급종합병원·종합병원)신생아 공휴일 개흉적심장수술"
"494","(상급종합병원·종합병원)신생아 공휴일 개두술(뇌종양,뇌혈관질환)"
"495","(상급종합병원·종합병원)신생아 공휴일 중증외상환자에대한수술"
"496","(상급종합병원·종합병원)만1세미만 장기이식수술"
"497","(상급종합병원·종합병원)만1세미만 심폐체외순환법"
"498","(상급종합병원·종합병원)만1세미만 일측폐환기법"
"499","(상급종합병원·종합병원)만1세미만 고빈도제트환기법"
"500","(상급종합병원·종합병원)만1세미만 개흉적심장수술"
"501","(상급종합병원·종합병원)만1세미만 개두술(뇌종양,뇌혈관질환)"
"502","(상급종합병원·종합병원)만1세미만 중증외상환자에대한수술"
"503","(상급종합병원·종합병원)만1세미만 야간 장기이식수술"
"504","(상급종합병원·종합병원)만1세미만 야간 심폐체외순환법"
"505","(상급종합병원·종합병원)만1세미만 야간 일측폐환기법"
"506","(상급종합병원·종합병원)만1세미만 야간 고빈도제트환기법"
"507","(상급종합병원·종합병원)만1세미만 야간 개흉적심장수술"
"508","(상급종합병원·종합병원)만1세미만 야간 개두술(뇌종양,뇌혈관질환)"
"509","(상급종합병원·종합병원)만1세미만 야간 중증외상환자에대한수술"
"510","(상급종합병원·종합병원)만1세미만 공휴일 장기이식수술"
"511","(상급종합병원·종합병원)만1세미만 공휴일 심폐체외순환법"
"512","(상급종합병원·종합병원)만1세미만 공휴일 일측폐환기법"
"513","(상급종합병원·종합병원)만1세미만 공휴일 고빈도제트환기법"
"514","(상급종합병원·종합병원)만1세미만 공휴일 개흉적심장수술"
"515","(상급종합병원·종합병원)만1세미만 공휴일 개두술(뇌종양,뇌혈관질환)"
"516","(상급종합병원·종합병원)만1세미만 공휴일 중증외상환자에대한수술"
"517","(상급종합병원·종합병원)만1세이상~만6세미만 장기이식수술"
"518","(상급종합병원·종합병원)만1세이상~만6세미만 심폐체외순환법"
"519","(상급종합병원·종합병원)만1세이상~만6세미만 일측폐환기법"
"520","(상급종합병원·종합병원)만1세이상~만6세미만 고빈도제트환기법"
"521","(상급종합병원·종합병원)만1세이상~만6세미만 개흉적심장수술"
"522","(상급종합병원·종합병원)만1세이상~만6세미만 개두술(뇌종양,뇌혈관질환)"
"523","(상급종합병원·종합병원)만1세이상~만6세미만 중증외상환자에대한수술"
"524","(상급종합병원·종합병원)만1세이상~만6세미만 야간 장기이식수술"
"525","(상급종합병원·종합병원)만1세이상~만6세미만 야간 심폐체외순환법"
