,concept_code,concept_name,domain_id,vocabulary_id,concept_class_id,valid_start_date,valid_end_date,invalid_reason,synonyms,material,dosage,dosage_unit,concept_code_bf,ancestor_concept_code
19,M1001020,Intravenous injection sets (K&P - 02),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,수액세트(K&P-02),PVC(NON-DEHP)등,NA,NA,NA,NA
20,M1001120,blood transfusion sets (K&P - 01),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,수혈세트(K&P-01),PVC(NON-DEHP)등,NA,NA,NA,NA
21,J4302340,Intravenous injection pump sets,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,수액펌프용 수액세트,PVC,NA,NA,NA,NA
22,K3014022,THOPAZ CANISTER,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,THOPAZ CANISTER,POLYPROPYLEN,NA,NA,NA,NA
23,M1002031,DIAL-A-FLO,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,DIAL-A-FLO,PVC(NON-DEHP),NA,NA,NA,NA
24,J5001015,FAST-CATH HEMOSTASIS INTRODUCER WITH-LOCK,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,FAST-CATH HEMOSTASIS INTRODUCER WITH-LOCK,-,NA,NA,NA,NA
25,J4071303,ARMADA 35 PTA CATHETER,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,ARMADA 35 PTA CATHETER,POLYAMIDE 12,NA,NA,NA,NA
26,J4073003,ARMADA 35 PTA CATHETER,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,ARMADA 35 PTA CATHETER,POLYAMIDE 12,NA,NA,NA,NA
27,J8072140,ARMADA14XT PTA CATHETER,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,ARMADA14XT PTA CATHETER,POLYETHER BLOCK POLYAMIDE COPOLYMER,NA,NA,NA,NA
28,F0001101,REFLEX SYSTEM,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,REFLEX SYSTEM,"SCREW, LOCKING-TITANIUM ALLOY PLATE-TMZF ALLOY",NA,NA,NA,NA
29,F0002101,REFLEX SCREW,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,REFLEX SCREW,TITANIUM ALLOY,NA,NA,NA,NA
30,F0103101,STABILIS SYSTEM (SET),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,STABILIS SYSTEM (SET),TITANIUM ALLOY,NA,NA,NA,NA
31,F0016057,JPBIO SPINAL FIXATIOIN SYSTEM_ROD,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,JPBIO SPINAL FIXATIOIN SYSTEM_ROD,TITANIUM ALLOY,NA,NA,NA,NA
32,F0016157,JPBIO SPINAL FIXATION SYSTEM II_ROD,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,JPBIO SPINAL FIXATION SYSTEM II_ROD,TITANIUM ALLOY,NA,NA,NA,NA
33,F0018057,JPBIO SPINAL FIXATIOIN SYSTEM_SCREW,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,JPBIO SPINAL FIXATIOIN SYSTEM_SCREW,TITANIUM ALLOY,NA,NA,NA,NA
34,F0018157,JPBIO SPINAL FIXATION SYSTEM II_SCREW,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,JPBIO SPINAL FIXATION SYSTEM II_SCREW,TITANIUM ALLOY,NA,NA,NA,NA
35,F0019057,JPBIO SPINAL FIXATIOIN SYSTEM_CROSS LINK,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,JPBIO SPINAL FIXATIOIN SYSTEM_CROSS LINK,TITANIUM ALLOY,NA,NA,NA,NA
36,F0019157,JPBIO SPINAL FIXATION SYSTEM II_CROSSLINK,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,JPBIO SPINAL FIXATION SYSTEM II_CROSSLINK,TITANIUM ALLOY,NA,NA,NA,NA
37,F0101057,JPBIO PLIF SPINAL PEEK CAGE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,JPBIO PLIF SPINAL PEEK CAGE,"PEEK, TITANIUM ALLOY",NA,NA,NA,NA
38,F0101157,JPBIO PLIF SPINAL PEEK CAGE II,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,JPBIO PLIF SPINAL PEEK CAGE II,"PEEK, TITANIUM ALLOY",NA,NA,NA,NA
39,F0101257,JPBIO PLIF SPINAL PEEK CAGE Ⅲ,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,JPBIO PLIF SPINAL PEEK CAGE Ⅲ,PEEK,NA,NA,NA,NA
40,F0105057,JPBIO CERVICAL SPINAL PEEK CAGE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,JPBIO CERVICAL SPINAL PEEK CAGE,"PEEK, TITANIUM ALLOY",NA,NA,NA,NA
41,F0105157,JPBIO CERVICAL SPINAL PEEK CAGE II,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,JPBIO CERVICAL SPINAL PEEK CAGE II,"PEEK, TITANIUM ALLOY",NA,NA,NA,NA
42,F0105257,JPBIO CERVICAL SPINAL PEEK CAGE Ⅲ,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,JPBIO CERVICAL SPINAL PEEK CAGE Ⅲ,"PEEK, TITANIUM ALLOY",NA,NA,NA,NA
43,F0105172,PEEK PREVAIL SYSTEM,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,PEEK PREVAIL SYSTEM,PEEK 등,NA,NA,NA,NA
44,G8303303,VIVA QUAD XT,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,VIVA QUAD XT,TITANIUM + POLYURETHANE,NA,NA,NA,NA
45,J2101002,BALLOON REPLACEMENT GASTROSTOMY TUBE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,BALLOON REPLACEMENT GASTROSTOMY TUBE,-,NA,NA,NA,NA
46,J6011002,GUIDE WIRE COPE MANDRIL,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,GUIDE WIRE COPE MANDRIL,PLATINUM SPRING COILTIP,NA,NA,NA,NA
47,J4650106,MAAC,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,MAAC,POLYCARBONATE 등,NA,NA,NA,NA
48,J4650206,MASC,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,MASC,POLYCARBONATE 등,NA,NA,NA,NA
49,M1009013,Drug-non-absorbent NON-PVC Polyolefin filter (including ONE WAY VALVE),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,약물비흡착 NON-PVC 폴리올레핀 필터(ONE WAY VALVE 포함),폴리올레핀 등,NA,NA,NA,NA
50,M1009061,AUTOCLAMP SET,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,AUTOCLAMP SET,폴리에틸렌  등,NA,NA,NA,NA
51,M1010000,I-CARE REGULATOR FILTER SET-P (0.2FILTER+REGULATOR),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,I-CARE REGULATOR FILTER SET-P (0.2FILTER+REGULATOR),PVC(DEHP-FREE) 등,NA,NA,NA,NA
52,M1010051,SAFEFUSION(0.2FILTER+REGULATOR),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,SAFEFUSION(0.2FILTER+REGULATOR),PVC(NON-DEHP) 등,NA,NA,NA,NA
53,M1010092,NATURE SET F (R2+0.2F SET),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,NATURE SET F (R2+0.2F SET),"PVC-TOTM, 폴리에틸렌 등",NA,NA,NA,NA
54,M1010100,I-CARE REGULATOR FILTER SET-P (1.2FILTER+REGULATOR),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,I-CARE REGULATOR FILTER SET-P (1.2FILTER+REGULATOR),PVC(DEHP-FREE) 등,NA,NA,NA,NA
55,M1010151,SAFEFUSION(1.2FILTER+REGULATOR),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,SAFEFUSION(1.2FILTER+REGULATOR),PVC(NON-DEHP) 등,NA,NA,NA,NA
56,M1010192,NATURE SET F (R2+1.2F SET),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,NATURE SET F (R2+1.2F SET),"PVC-TOTM, 폴리에틸렌 등",NA,NA,NA,NA
57,M1010292,NATURE SET F1 (R2+0.2F SET),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,NATURE SET F1 (R2+0.2F SET),PVC-TOTM 등,NA,NA,NA,NA
58,M1010392,NATURE SET F1 (R2+1.2F SET),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,NATURE SET F1 (R2+1.2F SET),PVC-TOTM 등,NA,NA,NA,NA
59,M1011000,I-CARE REGULATOR FILTER SET (0.2FILTER+REGULATOR),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,I-CARE REGULATOR FILTER SET (0.2FILTER+REGULATOR),폴리우레탄 등,NA,NA,NA,NA
60,M1011020,INFU REGULATOR FILTER SET(0.2),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,INFU REGULATOR FILTER SET(0.2),POLYURETHANE 등,NA,NA,NA,NA
61,M1011051,SAFEFUSION(0.2FILTER+REGULATOR),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,SAFEFUSION(0.2FILTER+REGULATOR),POLYOLEFIN 등,NA,NA,NA,NA
62,M1011092,NATURE SET F (R1+0.2F SET),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,NATURE SET F (R1+0.2F SET),폴리우레탄 등,NA,NA,NA,NA
63,M1011100,I-CARE REGULATOR FILTER SET (1.2FILTER+REGULATOR),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,I-CARE REGULATOR FILTER SET (1.2FILTER+REGULATOR),폴리우레탄 등,NA,NA,NA,NA
64,M1011120,INFU REGULATOR FILTER SET(1.2),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,INFU REGULATOR FILTER SET(1.2),POLYURETHANE 등,NA,NA,NA,NA
65,M1011192,NATURE SET F (R1+1.2F SET),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,NATURE SET F (R1+1.2F SET),폴리우레탄 등,NA,NA,NA,NA
66,M1011151,SAFEFUSION(1.2FILTER+REGULATOR),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,SAFEFUSION(1.2FILTER+REGULATOR),POLYOLEFIN 등,NA,NA,NA,NA
67,M1011292,NATURE SET F1 (R1+0.2F SET),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,NATURE SET F1 (R1+0.2F SET),폴리우레탄 등,NA,NA,NA,NA
68,M1011251,IV REGULATOR 0.2FILTER,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,IV REGULATOR 0.2FILTER,POLYURETHANE 등,NA,NA,NA,NA
69,M1011351,IV REGULATOR 1.2FILTER,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,IV REGULATOR 1.2FILTER,POLYURETHANE 등,NA,NA,NA,NA
70,M1011392,NATURE SET F1 (R1+1.2F SET),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,NATURE SET F1 (R1+1.2F SET),폴리우레탄 등,NA,NA,NA,NA
71,M2113115,RESECTOSCOPIC ELECTRODE(LOOP TYPE),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,RESECTOSCOPIC ELECTRODE(LOOP TYPE),"TUNGSTEN,STAINLESS STEEL 등",NA,NA,NA,NA
72,M2114115,RESECTOSCOPIC ELECTRODE(BALL TYPE),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,RESECTOSCOPIC ELECTRODE(BALL TYPE),"TUNGSTEN,STAINLESS STEEL 등",NA,NA,NA,NA
73,M2115115,RESECTOSCOPIC ELECTRODE(NEEDLE TYPE),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,RESECTOSCOPIC ELECTRODE(NEEDLE TYPE),"TUNGSTEN,STAINLESS STEEL 등",NA,NA,NA,NA
74,K1007001,RAPIGRAFT,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,RAPIGRAFT,TYPE 1 COLLAGEN,NA,NA,NA,NA
75,K1007002,RAPIGRAFT,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,RAPIGRAFT,TYPE 1 COLLAGEN,NA,NA,NA,NA
76,K1007003,RAPIGRAFT,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,RAPIGRAFT,TYPE 1 COLLAGEN,NA,NA,NA,NA
77,K1007004,RAPIGRAFT,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,RAPIGRAFT,TYPE 1 COLLAGEN,NA,NA,NA,NA
78,K1007005,RAPIGRAFT,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,RAPIGRAFT,TYPE 1 COLLAGEN,NA,NA,NA,NA
79,K1007006,RAPIGRAFT,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,RAPIGRAFT,TYPE 1 COLLAGEN,NA,NA,NA,NA
80,K1007007,RAPIGRAFT,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,RAPIGRAFT,TYPE 1 COLLAGEN,NA,NA,NA,NA
81,K1007008,RAPIGRAFT,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,RAPIGRAFT,TYPE 1 COLLAGEN,NA,NA,NA,NA
82,K1007009,RAPIGRAFT,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,RAPIGRAFT,TYPE 1 COLLAGEN,NA,NA,NA,NA
83,K1007010,RAPIGRAFT,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,RAPIGRAFT,TYPE 1 COLLAGEN,NA,NA,NA,NA
84,M2103093,NATRELLE SILICONE-FILLED BREAST IMPLANTS,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,NATRELLE SILICONE-FILLED BREAST IMPLANTS,TRYMETHYLSILOXY ENDBLOCKED POLY SILOXANE 100%등,NA,NA,NA,NA
85,M2103193,NATRELLE INSPIRA TEXTURED,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,NATRELLE INSPIRA TEXTURED,DIMETHYL METHYLVINYL POLYSILOXANE(TRYMETHYL ENDBLOCKED) 100% 등,NA,NA,NA,NA
86,M2104093,NATRELLE 410 SILICONE-FILLED BREAST IMPLANT,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,NATRELLE 410 SILICONE-FILLED BREAST IMPLANT,DIMETHYL METHYLVINYL POLYSILOXANE(TRYMETHYL ENDBLOCKED) 100% 등,NA,NA,NA,NA
87,C5005007,BROAD BONE PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,BROAD BONE PLATE,STAINLESS STEEL,NA,NA,NA,NA
88,C5006007,BROAD BONE PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,BROAD BONE PLATE,STAINLESS STEEL,NA,NA,NA,NA
89,C5007007,NARROW BONE PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,NARROW BONE PLATE,STAINLESS STEEL,NA,NA,NA,NA
90,C5008007,NARROW BONE PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,NARROW BONE PLATE,STAINLESS STEEL,NA,NA,NA,NA
91,C5009007,NARROW BONE PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,NARROW BONE PLATE,STAINLESS STEEL,NA,NA,NA,NA
92,C5012007,L PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,L PLATE,STAINLESS STEEL,NA,NA,NA,NA
93,C5013007,L PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,L PLATE,STAINLESS STEEL,NA,NA,NA,NA
94,C5028007,T(OBLIQUE) PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,T(OBLIQUE) PLATE,STAINLESS STEEL,NA,NA,NA,NA
95,C5033007,BIFURCATED BLADE ALTDORF PATTERN PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,BIFURCATED BLADE ALTDORF PATTERN PLATE,STAINLESS STEEL,NA,NA,NA,NA
96,C5036007,CONDYLAR PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,CONDYLAR PLATE,STAINLESS STEEL,NA,NA,NA,NA
97,C5051007,SPHERICAL GLIDING HOLES PLATE SET,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,SPHERICAL GLIDING HOLES PLATE SET,STAINLESS STEEL,NA,NA,NA,NA
98,C5061007,ONE THIRD TUBULAR PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,ONE THIRD TUBULAR PLATE,STAINLESS STEEL,NA,NA,NA,NA
99,C5062007,CLOVERLEAF PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,CLOVERLEAF PLATE,STAINLESS STEEL,NA,NA,NA,NA
100,C5066007,T-PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,T-PLATE,STAINLESS STEEL,NA,NA,NA,NA
101,C5063007,SMALL FRAGMENT PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,SMALL FRAGMENT PLATE,STAINLESS STEEL,NA,NA,NA,NA
102,C5064007,SMALL FRAGMENT PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,SMALL FRAGMENT PLATE,STAINLESS STEEL,NA,NA,NA,NA
103,C5069007,RECONSTRUCTION PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,RECONSTRUCTION PLATE,STAINLESS STEEL,NA,NA,NA,NA
104,C5074007,Y PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,Y PLATE,STAINLESS STEEL,NA,NA,NA,NA
105,C5091007,MINI BONE PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,MINI BONE PLATE,STAINLESS STEEL,NA,NA,NA,NA
106,C5095007,SMALL FRAGMENT PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,SMALL FRAGMENT PLATE,STAINLESS STEEL,NA,NA,NA,NA
107,C5097007,MINI BONE T SHAPE (FOR CONDYLE)PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,MINI BONE T SHAPE (FOR CONDYLE)PLATE,STAINLESS STEEL,NA,NA,NA,NA
108,C5097107,SMALL FRAGMENT PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,SMALL FRAGMENT PLATE,STAINLESS STEEL,NA,NA,NA,NA
109,C5099007,STRAIGHT RECONSTRUCTION PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,STRAIGHT RECONSTRUCTION PLATE,STAINLESS STEEL,NA,NA,NA,NA
110,C5100007,STRAIGHT RECONSTRUCTION PLATE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,STRAIGHT RECONSTRUCTION PLATE,STAINLESS STEEL,NA,NA,NA,NA
111,J5083137,DESYNE NOVOLIMUS ELUTING CORONARY STENT,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,DESYNE NOVOLIMUS ELUTING CORONARY STENT,STENT(COBALT CHROMIUM ALLOY)+약물(NOVOLIMUS),NA,NA,NA,NA
112,M1003019,DISPOSABLE INFUSION SETS,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,DISPOSABLE INFUSION SETS,PVC(NON-DEHP)등,NA,NA,NA,NA
113,M1006019,DIRECT INFUSION DEVICE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,DIRECT INFUSION DEVICE,"합성고무, PC 등",NA,NA,NA,NA
114,M1007019,DISPOSABLE INFUSION FILTER,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,DISPOSABLE INFUSION FILTER,폴리아마이드 등,NA,NA,NA,NA
115,M1007119,DIRECT INFUSION DEVICE(0.2㎛),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,DIRECT INFUSION DEVICE(0.2㎛),"PVC(NON-DEHP), 폴리아마이드 등",NA,NA,NA,NA
116,M1008019,DISPOSABLE INFUSION FILTER,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,DISPOSABLE INFUSION FILTER,폴리아마이드 등,NA,NA,NA,NA
117,M1008119,DIRECT INFUSION DEVICE(1.2㎛),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,DIRECT INFUSION DEVICE(1.2㎛),"PVC(NON-DEHP), 폴리아마이드 등",NA,NA,NA,NA
118,M1012019,DIRECT INFUSION DEVICE,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,DIRECT INFUSION DEVICE,"폴리카보네이트, 이소프렌 고무 등",NA,NA,NA,NA
119,A0013001,CARBON SET (P.A. SET),Device,Korean EDI,Therapeutic materials,1970-01-01,2099-12-31,,CARBON SET (P.A. SET),-,NA,NA,NA,NA
120,B0001001,SUTURE ETHILON (NYLON),Device,Korean EDI,Therapeutic materials,1970-01-01,2099-12-31,,SUTURE ETHILON (NYLON),MONOFILAMENT POLAMIDE,NA,NA,NA,NA
121,B0001002,NYLON,Device,Korean EDI,Therapeutic materials,1970-01-01,2099-12-31,,NYLON,MONOFILAMENT POLAMIDE,NA,NA,NA,NA
122,B0001004,DAFILON,Device,Korean EDI,Therapeutic materials,1970-01-01,2099-12-31,,DAFILON,MONOFILAMENT POLYAMIDE,NA,NA,NA,NA
123,B0001005,MONOSOF,Device,Korean EDI,Therapeutic materials,1970-01-01,2099-12-31,,MONOSOF,MONOFILAMENT NYLON,NA,NA,NA,NA
124,B0001006,NYLON,Device,Korean EDI,Therapeutic materials,1970-01-01,2099-12-31,,NYLON,MONOFILAMENT NYLON,NA,NA,NA,NA
125,B0001008,WEGO-NYLON,Device,Korean EDI,Therapeutic materials,1970-01-01,2099-12-31,,WEGO-NYLON,POLYAMIDE,NA,NA,NA,NA
126,B0001013,NYLON,Device,Korean EDI,Therapeutic materials,1970-01-01,2099-12-31,,NYLON,NYLON,NA,NA,NA,NA
127,B0001018,REXLON,Device,Korean EDI,Therapeutic materials,1970-01-01,2099-12-31,,REXLON,MONOFILAMENT NYLON (POLYAMIDE),NA,NA,NA,NA
128,B0001022,FILAMIDE,Device,Korean EDI,Therapeutic materials,1970-01-01,2099-12-31,,FILAMIDE,POLYAMIDE,NA,NA,NA,NA
129,B0001026,NYLON,Device,Korean EDI,Therapeutic materials,1970-01-01,2099-12-31,,NYLON,POLYAMIDE,NA,NA,NA,NA
130,B0001090,FILAMIDE,Device,Korean EDI,Therapeutic materials,1970-01-01,2099-12-31,,FILAMIDE,POLYAMIDE,NA,NA,NA,NA
131,B0002001,SUTURE ETHILON (NYLON),Device,Korean EDI,Therapeutic materials,1970-01-01,2099-12-31,,SUTURE ETHILON (NYLON),MONOFILAMENT POLAMIDE,NA,NA,NA,NA
132,B0002002,NYLON,Device,Korean EDI,Therapeutic materials,1970-01-01,2099-12-31,,NYLON,MONOFILAMENT POLAMIDE,NA,NA,NA,NA
